Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Churn,txn_velocity,engagement_decay,credit_utilisation,product_density,avg_transaction_value,contact_intensity,split
36,0,0,6,1,4,0,24,4,3,2,2570.0,2230,340.0,0.686,1755,42,0.448,0.868,0,1.75,0.125,0.867704280155642,0.16666666666666666,41.785714285714285,0.08333333333333333,train
44,1,3,3,2,2,3,36,5,2,3,25276.0,0,25276.0,0.849,2282,38,0.583,0.0,1,1.0555555555555556,0.05555555555555555,0.0,0.1388888888888889,60.05263157894737,0.08333333333333333,train
46,1,2,3,1,3,0,30,6,3,1,11670.0,915,10755.0,0.892,4277,89,0.854,0.078,0,2.966666666666667,0.1,0.07840616966580977,0.2,48.056179775280896,0.03333333333333333,train
36,0,2,2,1,4,0,24,3,1,3,3124.0,1593,1531.0,0.869,1652,41,0.367,0.51,0,1.7083333333333333,0.041666666666666664,0.5099231754161332,0.125,40.292682926829265,0.125,train
50,1,1,2,2,0,0,40,4,2,3,34516.0,1185,33331.0,0.725,3874,72,0.714,0.034,0,1.8,0.05,0.0343319040445011,0.1,53.80555555555556,0.075,train
43,1,3,5,2,3,0,30,3,2,4,11336.0,0,11336.0,0.691,1809,39,0.345,0.0,1,1.3,0.06666666666666667,0.0,0.1,46.38461538461539,0.13333333333333333,train
42,0,3,2,1,4,0,33,2,3,1,3794.0,1544,2250.0,0.72,7872,80,0.538,0.407,0,2.4242424242424243,0.09090909090909091,0.4069583552978387,0.06060606060606061,98.4,0.030303030303030304,train
48,0,3,0,0,4,0,36,4,3,3,2335.0,1845,490.0,0.537,1362,33,0.269,0.79,0,0.9166666666666666,0.08333333333333333,0.7901498929336188,0.1111111111111111,41.27272727272727,0.08333333333333333,train
29,1,1,2,0,4,0,36,4,3,2,3839.0,1139,2700.0,0.632,14791,124,0.771,0.297,0,3.4444444444444446,0.08333333333333333,0.2966918468351133,0.1111111111111111,119.28225806451613,0.05555555555555555,train
55,0,2,2,2,4,3,47,3,3,1,13565.0,0,13565.0,0.56,3705,69,0.917,0.0,0,1.4680851063829787,0.06382978723404255,0.0,0.06382978723404255,53.69565217391305,0.02127659574468085,train
53,0,4,1,1,4,0,37,6,2,2,3719.0,2517,1202.0,0.666,2587,43,0.536,0.677,1,1.162162162162162,0.05405405405405406,0.6767948373218607,0.16216216216216217,60.16279069767442,0.05405405405405406,train
48,0,4,6,1,4,0,41,3,3,3,2447.0,1267,1180.0,0.449,2132,37,0.37,0.518,1,0.9024390243902439,0.07317073170731707,0.5177768696362893,0.07317073170731707,57.62162162162162,0.07317073170731707,train
56,0,3,2,1,4,0,41,5,4,1,1438.3,0,1438.3,0.796,3778,72,1.118,0.0,0,1.7560975609756098,0.0975609756097561,0.0,0.12195121951219512,52.47222222222222,0.024390243902439025,train
39,1,5,0,1,3,0,29,3,3,4,34198.0,1804,32394.0,0.934,4270,59,0.639,0.053,0,2.0344827586206895,0.10344827586206896,0.05275162290192409,0.10344827586206896,72.37288135593221,0.13793103448275862,train
50,0,2,0,1,1,0,36,5,4,1,2428.0,2005,423.0,0.835,5170,68,0.659,0.826,0,1.8888888888888888,0.1111111111111111,0.8257825370675453,0.1388888888888889,76.02941176470588,0.027777777777777776,train
45,1,4,6,3,1,1,39,5,1,2,23981.0,1684,22297.0,0.736,4141,73,0.521,0.07,0,1.8717948717948718,0.02564102564102564,0.07022225928860348,0.1282051282051282,56.726027397260275,0.05128205128205128,train
47,0,3,2,3,5,0,34,5,1,4,18064.0,2039,16025.0,0.89,4435,88,0.796,0.113,0,2.588235294117647,0.029411764705882353,0.11287643932683791,0.14705882352941177,50.39772727272727,0.11764705882352941,train
43,1,5,5,1,2,0,36,6,2,4,2621.0,598,2023.0,0.967,4852,85,0.771,0.228,0,2.361111111111111,0.05555555555555555,0.22815719191148418,0.16666666666666666,57.082352941176474,0.1111111111111111,train
46,0,3,0,1,4,0,41,4,1,1,1489.0,949,540.0,0.65,4669,94,0.741,0.637,0,2.292682926829268,0.024390243902439025,0.6373404969778375,0.0975609756097561,49.670212765957444,0.024390243902439025,train
46,0,3,5,1,4,0,29,5,1,1,2228.0,1449,779.0,0.61,4382,83,0.694,0.65,0,2.8620689655172415,0.034482758620689655,0.650359066427289,0.1724137931034483,52.795180722891565,0.034482758620689655,train
65,1,1,3,2,4,0,54,3,1,3,4599.0,1438,3161.0,0.832,4208,69,0.865,0.313,0,1.2777777777777777,0.018518518518518517,0.3126766688410524,0.05555555555555555,60.98550724637681,0.05555555555555555,train
32,0,1,3,1,5,0,22,3,2,3,3413.0,2517,896.0,0.984,4355,71,0.919,0.737,0,3.227272727272727,0.09090909090909091,0.7374743627307354,0.13636363636363635,61.33802816901409,0.13636363636363635,train
54,0,3,6,1,4,0,36,6,2,4,2556.0,2260,296.0,0.487,1401,30,0.579,0.884,0,0.8333333333333334,0.05555555555555555,0.8841940532081377,0.16666666666666666,46.7,0.1111111111111111,train
37,1,2,3,2,2,0,21,5,2,2,3433.0,964,2469.0,0.526,4444,87,0.642,0.281,0,4.142857142857143,0.09523809523809523,0.280803961549665,0.23809523809523808,51.08045977011494,0.09523809523809523,train
49,0,5,2,1,1,0,35,5,2,1,11115.0,1292,9823.0,0.797,3956,74,0.609,0.116,0,2.1142857142857143,0.05714285714285714,0.11623931623931624,0.14285714285714285,53.45945945945946,0.02857142857142857,train
50,1,1,0,1,3,0,33,5,3,2,17158.0,1211,15947.0,0.778,4153,91,0.685,0.071,0,2.757575757575758,0.09090909090909091,0.070579321599254,0.15151515151515152,45.637362637362635,0.06060606060606061,train
34,1,3,3,1,2,0,26,4,3,3,3265.0,2517,748.0,0.952,1843,35,0.944,0.771,0,1.3461538461538463,0.11538461538461539,0.7709035222052067,0.15384615384615385,52.65714285714286,0.11538461538461539,train
53,1,3,5,1,3,0,36,3,3,1,11450.0,2129,9321.0,0.956,2197,45,0.957,0.186,0,1.25,0.08333333333333333,0.18593886462882095,0.08333333333333333,48.82222222222222,0.027777777777777776,train
51,0,0,2,1,4,0,32,4,2,3,1757.0,331,1426.0,0.879,2377,47,0.516,0.188,1,1.46875,0.0625,0.18838929994308481,0.125,50.57446808510638,0.09375,train
49,0,4,5,1,4,0,36,6,3,3,1438.3,0,1438.3,0.782,2170,41,0.464,0.0,0,1.1388888888888888,0.08333333333333333,0.0,0.16666666666666666,52.926829268292686,0.08333333333333333,train
47,1,2,0,1,2,3,35,2,1,1,34516.0,1349,33167.0,0.674,8582,106,0.767,0.039,0,3.0285714285714285,0.02857142857142857,0.03908332367597636,0.05714285714285714,80.9622641509434,0.02857142857142857,train
41,0,3,2,1,4,0,36,6,6,4,2873.0,1247,1626.0,0.889,3943,80,0.702,0.434,0,2.2222222222222223,0.16666666666666666,0.4340410720501218,0.16666666666666666,49.2875,0.1111111111111111,train
46,1,1,5,1,3,0,36,2,3,2,17698.0,1769,15929.0,0.623,8056,95,0.583,0.1,0,2.638888888888889,0.08333333333333333,0.0999547971522206,0.05555555555555555,84.8,0.05555555555555555,train
46,0,4,2,1,5,0,32,2,1,1,5798.0,680,5118.0,0.708,5027,82,0.64,0.117,0,2.5625,0.03125,0.11728182131769575,0.0625,61.30487804878049,0.03125,train
37,0,1,6,2,4,0,32,6,3,3,9661.0,0,9661.0,0.926,2825,60,0.818,0.0,0,1.875,0.09375,0.0,0.1875,47.083333333333336,0.09375,train
34,0,4,3,2,5,3,26,2,2,2,32056.0,1668,30388.0,0.771,12595,106,0.683,0.052,0,4.076923076923077,0.07692307692307693,0.0520339406039431,0.07692307692307693,118.82075471698113,0.07692307692307693,train
36,0,1,2,1,4,0,29,4,2,3,1493.0,0,1493.0,0.721,2516,63,0.575,0.0,1,2.1724137931034484,0.06896551724137931,0.0,0.13793103448275862,39.93650793650794,0.10344827586206896,train
35,0,2,2,1,1,0,36,4,3,4,3454.0,1603,1851.0,1.078,1575,41,0.519,0.464,0,1.1388888888888888,0.08333333333333333,0.46409959467284306,0.1111111111111111,38.41463414634146,0.1111111111111111,train
48,1,3,0,1,2,0,37,3,3,2,11959.0,1665,10294.0,0.675,1191,40,0.481,0.139,0,1.0810810810810811,0.08108108108108109,0.13922568776653566,0.08108108108108109,29.775,0.05405405405405406,train
38,0,1,3,2,4,0,26,5,2,4,3554.0,0,3554.0,0.782,2372,44,0.63,0.0,1,1.6923076923076923,0.07692307692307693,0.0,0.19230769230769232,53.90909090909091,0.15384615384615385,train
44,0,4,5,2,5,0,24,6,3,2,2717.0,1720,997.0,0.869,4196,71,0.614,0.633,0,2.9583333333333335,0.125,0.6330511593669489,0.25,59.098591549295776,0.08333333333333333,train
45,1,4,3,0,3,0,39,5,3,4,14290.0,1432,12858.0,0.815,14709,125,0.689,0.1,0,3.2051282051282053,0.07692307692307693,0.10020993701889433,0.1282051282051282,117.672,0.10256410256410256,train
51,1,3,2,1,3,0,39,1,2,1,7088.0,1750,5338.0,0.618,4691,76,0.727,0.247,0,1.9487179487179487,0.05128205128205128,0.2468961625282167,0.02564102564102564,61.723684210526315,0.02564102564102564,train
55,0,1,2,3,4,0,36,4,2,2,3552.0,2517,1035.0,0.865,2665,36,0.333,0.709,1,1.0,0.05555555555555555,0.7086148648648649,0.1111111111111111,74.02777777777777,0.05555555555555555,train
30,1,1,6,1,1,0,18,5,1,3,4726.0,1380,3346.0,0.622,1723,31,0.55,0.292,0,1.7222222222222223,0.05555555555555555,0.2920016927634363,0.2777777777777778,55.58064516129032,0.16666666666666666,train
43,1,2,3,3,3,0,30,4,2,1,18008.0,2517,15491.0,0.775,2659,55,0.833,0.14,0,1.8333333333333333,0.06666666666666667,0.13977121279431365,0.13333333333333333,48.345454545454544,0.03333333333333333,train
39,1,3,2,2,2,0,36,5,3,4,2527.0,2204,323.0,0.9,4598,85,0.771,0.872,0,2.361111111111111,0.08333333333333333,0.8721804511278195,0.1388888888888889,54.09411764705882,0.1111111111111111,train
37,1,3,5,2,2,0,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0,0.6666666666666666,0.05555555555555555,0.11260737294201861,0.1388888888888889,56.25,0.0,train
44,1,3,3,2,0,3,36,1,2,2,34516.0,1106,33410.0,0.776,7936,76,0.767,0.032,0,2.111111111111111,0.05555555555555555,0.032043110441534364,0.027777777777777776,104.42105263157895,0.05555555555555555,train
53,0,0,3,1,1,0,36,6,2,3,2883.0,1936,947.0,0.861,4244,53,0.656,0.672,0,1.4722222222222223,0.05555555555555555,0.6715227193895248,0.16666666666666666,80.0754716981132,0.08333333333333333,train
37,1,0,4,2,3,0,27,5,2,3,15326.0,0,15326.0,1.159,2990,55,0.964,0.0,0,2.037037037037037,0.07407407407407407,0.0,0.18518518518518517,54.36363636363637,0.1111111111111111,train
37,0,4,5,1,4,0,18,5,1,2,2930.0,2024,906.0,0.903,1686,34,0.7,0.691,0,1.8888888888888888,0.05555555555555555,0.6907849829351536,0.2777777777777778,49.588235294117645,0.1111111111111111,train
34,0,3,2,1,1,0,25,6,2,2,2275.0,1468,807.0,0.757,4977,88,0.692,0.645,0,3.52,0.08,0.6452747252747253,0.24,56.55681818181818,0.08,train
55,0,1,2,2,5,0,49,1,4,3,2721.0,0,2721.0,0.508,5443,73,0.973,0.0,0,1.489795918367347,0.08163265306122448,0.0,0.02040816326530612,74.56164383561644,0.061224489795918366,train
55,0,2,2,2,4,0,43,1,3,1,1745.0,1168,577.0,0.701,4562,67,0.634,0.669,0,1.558139534883721,0.06976744186046512,0.6693409742120344,0.023255813953488372,68.08955223880596,0.023255813953488372,train
36,0,1,0,2,1,0,25,6,3,3,1888.0,0,1888.0,0.928,1886,66,0.65,0.0,0,2.64,0.12,0.0,0.24,28.575757575757574,0.12,train
50,1,3,2,2,2,0,45,4,2,3,21872.0,1118,20754.0,0.658,1806,31,0.409,0.051,0,0.6888888888888889,0.044444444444444446,0.051115581565471836,0.08888888888888889,58.25806451612903,0.06666666666666667,train
49,0,1,2,1,4,0,36,6,2,1,5153.0,1378,3775.0,0.744,4274,81,0.723,0.267,0,2.25,0.05555555555555555,0.2674170386182806,0.16666666666666666,52.76543209876543,0.027777777777777776,train
39,0,2,6,2,5,0,28,6,2,2,1493.0,792,701.0,0.688,4131,80,0.702,0.53,0,2.857142857142857,0.07142857142857142,0.5304755525787006,0.21428571428571427,51.6375,0.07142857142857142,train
39,1,2,0,1,2,0,35,4,3,2,7410.0,2517,4893.0,1.924,2398,37,1.176,0.34,0,1.0571428571428572,0.08571428571428572,0.3396761133603239,0.11428571428571428,64.8108108108108,0.05714285714285714,train
47,1,4,6,0,1,0,35,3,2,1,4907.0,773,4134.0,0.517,5088,71,0.651,0.158,0,2.0285714285714285,0.05714285714285714,0.15753005909924597,0.08571428571428572,71.66197183098592,0.02857142857142857,train
53,1,3,2,2,3,0,36,4,3,2,34516.0,2517,31999.0,0.741,1475,33,0.833,0.073,0,0.9166666666666666,0.08333333333333333,0.07292270251477576,0.1111111111111111,44.696969696969695,0.05555555555555555,train
44,1,3,2,2,3,0,33,6,3,3,4131.0,785,3346.0,0.543,906,22,1.2,0.19,0,0.6666666666666666,0.09090909090909091,0.19002662793512468,0.18181818181818182,41.18181818181818,0.09090909090909091,train
47,0,2,4,0,1,0,33,6,2,3,5624.0,1216,4408.0,0.691,3843,66,1.0,0.216,0,2.0,0.06060606060606061,0.21621621621621623,0.18181818181818182,58.22727272727273,0.09090909090909091,train
53,1,1,2,2,3,0,43,4,2,3,11909.0,1018,10891.0,1.006,1938,53,0.656,0.085,0,1.2325581395348837,0.046511627906976744,0.08548156856159207,0.09302325581395349,36.56603773584906,0.06976744186046512,train
46,1,5,1,0,0,0,31,1,2,2,34516.0,1802,32714.0,0.871,7936,101,0.485,0.052,0,3.2580645161290325,0.06451612903225806,0.05220767180438058,0.03225806451612903,78.57425742574257,0.06451612903225806,train
50,0,2,2,0,1,0,40,6,2,5,8307.0,2517,5790.0,1.743,2293,36,0.8,0.303,0,0.9,0.05,0.3029974720115565,0.15,63.69444444444444,0.125,train
40,1,3,2,1,3,3,27,3,1,2,34516.0,0,34516.0,0.834,3193,53,0.559,0.0,0,1.962962962962963,0.037037037037037035,0.0,0.1111111111111111,60.24528301886792,0.07407407407407407,train
